OBJECTID,MUID,SEQN,SNAM,S5ID,CMPPCT,NLAYERS,HYDGRP,SOL_ZMX,ANION_EXCL,SOL_CRK,TEXTURE,SOL_Z1,SOL_BD1,SOL_AWC1,SOL_K1,SOL_CBN1,CLAY1,SILT1,SAND1,ROCK1,SOL_ALB1,USLE_K1,SOL_EC1,SOL_Z2,SOL_BD2,SOL_AWC2,SOL_K2,SOL_CBN2,CLAY2,SILT2,SAND2,ROCK2,SOL_ALB2,USLE_K2,SOL_EC2,SOL_Z3,SOL_BD3,SOL_AWC3,SOL_K3,SOL_CBN3,CLAY3,SILT3,SAND3,ROCK3,SOL_ALB3,USLE_K3,SOL_EC3,SOL_Z4,SOL_BD4,SOL_AWC4,SOL_K4,SOL_CBN4,CLAY4,SILT4,SAND4,ROCK4,SOL_ALB4,USLE_K4,SOL_EC4,SOL_Z5,SOL_BD5,SOL_AWC5,SOL_K5,SOL_CBN5,CLAY5,SILT5,SAND5,ROCK5,SOL_ALB5,USLE_K5,SOL_EC5,SOL_Z6,SOL_BD6,SOL_AWC6,SOL_K6,SOL_CBN6,CLAY6,SILT6,SAND6,ROCK6,SOL_ALB6,USLE_K6,SOL_EC6,SOL_Z7,SOL_BD7,SOL_AWC7,SOL_K7,SOL_CBN7,CLAY7,SILT7,SAND7,ROCK7,SOL_ALB7,USLE_K7,SOL_EC7,SOL_Z8,SOL_BD8,SOL_AWC8,SOL_K8,SOL_CBN8,CLAY8,SILT8,SAND8,ROCK8,SOL_ALB8,USLE_K8,SOL_EC8,SOL_Z9,SOL_BD9,SOL_AWC9,SOL_K9,SOL_CBN9,CLAY9,SILT9,SAND9,ROCK9,SOL_ALB9,USLE_K9,SOL_EC9,SOL_Z10,SOL_BD10,SOL_AWC10,SOL_K10,SOL_CBN10,CLAY10,SILT10,SAND10,ROCK10,SOL_ALB10,USLE_K10,SOL_EC10,SOL_CAL1,SOL_CAL2,SOL_CAL3,SOL_CAL4,SOL_CAL5,SOL_CAL6,SOL_CAL7,SOL_CAL8,SOL_CAL9,SOL_CAL10,SOL_PH1,SOL_PH2,SOL_PH3,SOL_PH4,SOL_PH5,SOL_PH6,SOL_PH7,SOL_PH8,SOL_PH9,SOL_PH10
,320,320,HU320,320,1,6,C,1000,0.5,0.5,,50,1.364969855,0.169441636,1.013498132,1.1,20.9,57.5,21.6,0,0.09,0.01,0,150,1.356206021,0.175573832,1.074580221,1.0,21.0,61.7,17.3,0,0.09,0.01,0,300,1.340132727,0.17470543,0.8949771,0.8,23.2,60.4,16.5,0.0,0.09,0.01,0.0,600,1.314289491,0.173373057,0.660401895,0.4,27.1,57.9,15.0,0.0,0.09,0.01,0.0,1000,1.306636691,0.171260269,0.573443768,0.2,28.8,54.1,15.6,0.0,0.09,0.010483093,0.0,2000,1.298639741,0.165346636,0.44912897,0.2,31.5,48.7,18.3,0.0,0.09,0.215238373,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,330,330,HU330,330,1,6,C,1000,0.5,0.5,,50,1.346215609,0.17546617,0.971427732,1.1,22.3,61.2,16.5,0,0.09,0.01,0,150,1.342281673,0.179649517,1.056861769,1.0,21.9,64.8,13.3,0,0.09,0.01,0,300,1.326717249,0.178819718,0.889807806,0.8,24.1,63.5,12.4,0.0,0.09,0.01,0.0,600,1.303218374,0.179288536,0.732012483,0.5,27.2,63.4,9.4,0.0,0.09,0.01,0.0,1000,1.312635585,0.177467449,0.742794758,0.3,26.4,60.1,12.0,0.0,0.09,0.01,0.0,2000,1.30224848,0.169629243,0.523231873,0.2,29.9,52.4,16.2,0.0,0.09,0.24303901,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,370,370,HU370,370,1,6,C,1000,0.5,0.5,,50,1.369787241,0.171902675,1.124075164,1.0,20.0,59.4,20.6,0,0.16,0.01,0,150,1.357953733,0.177239943,1.140925204,1.0,20.5,63.0,16.4,0,0.16,0.01,0,300,1.343872335,0.176668379,0.981560916,0.8,22.3,62.1,15.5,0.0,0.16,0.01,0.0,600,1.31455417,0.176104711,0.722044822,0.4,26.4,60.4,13.2,0.0,0.16,0.01,0.0,1000,1.318672951,0.175366347,0.734337157,0.3,26.0,58.4,14.1,0.0,0.16,0.01,0.0,2000,1.299583601,0.167961569,0.486184428,0.2,30.7,50.8,16.9,0.0,0.16,0.22709087,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,380,380,HU380,380,1,6,C,1000,0.5,0.5,,50,1.350626649,0.169452587,0.87235587,1.2,22.7,56.9,20.4,0,0.16,0.01,0,150,1.33254165,0.171434822,0.756444728,1.2,24.9,57.3,17.8,0,0.16,0.01,0,300,1.32145938,0.17098549,0.664100823,0.9,26.6,56.3,17.1,0.0,0.16,0.01,0.0,600,1.316187659,0.172842497,0.662767056,0.6,27.0,57.5,15.5,0.0,0.16,0.01,0.0,1000,1.279722766,0.169405298,0.421661299,0.4,33.8,50.7,13.9,0.0,0.16,0.012917547,0.0,2000,1.260438935,0.166363984,0.336873517,0.3,38.2,47.1,13.1,0.0,0.16,0.270432274,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,390,390,HU390,390,1,6,C,1000,0.5,0.5,,50,1.372449413,0.169166672,1.08717808,1.4,20.1,57.6,22.3,0,0.16,0.01,0,150,1.356829009,0.173144321,1.017314165,1.3,21.3,59.8,18.8,0,0.16,0.01,0,300,1.341159062,0.171738693,0.835400071,1.1,23.6,58.1,18.3,0.0,0.16,0.01,0.0,600,1.319491954,0.173356173,0.696285996,0.6,26.4,58.1,15.5,0.0,0.16,0.01,0.0,1000,1.306508261,0.169130202,0.53889756,0.3,29.3,52.2,16.9,0.0,0.16,0.011989098,0.0,2000,1.285825521,0.162881148,0.372873937,0.3,34.4,45.8,18.3,0.0,0.16,0.262018837,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,400,400,HU400,400,1,6,C,1000,0.5,0.5,,50,1.370869065,0.169983983,1.089095785,1.0,20.2,58.1,21.7,0,0.02,0.01,0,150,1.354134204,0.173288524,0.99362973,0.9,21.7,59.8,18.5,0,0.02,0.01,0,300,1.335914292,0.17344555,0.827747119,0.7,24.0,59.1,16.9,0.0,0.02,0.01,0.0,600,1.317530433,0.172723411,0.669675817,0.4,26.8,57.5,15.7,0.0,0.02,0.01,0.0,1000,1.300274402,0.172229431,0.554089544,0.2,29.6,54.5,14.4,0.0,0.02,0.010046546,0.0,2000,1.303908949,0.171207638,0.556971509,0.2,29.3,53.8,15.4,0.0,0.02,0.200856744,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,401,401,ZPP401,401,1,4,C,1000,0.5,0.5,,70,1.428751603,0.133721434,1.048279983,2.6,18,38.8,43.2,0,0.16,0.02205,0,450,1.426061482,0.1363471,1.062584864,1.7,18,40.2,41.8,0,0.16,0.021,0,800,1.400440045,0.130917202,0.715363148,0.3,21.6,36,42.4,0,0.16,0.02388,0,1000,1.419466122,0.13202899,0.916035094,0.3,19.2,37.5,43.3,0,0.16,0.02637525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,447,447,ZPP447,447,1,3,D,1000,0.5,0.5,,220,1.546653813,0.085430629,1.88187603,1.9,12.6,10.1,77.3,0,0.16,0.04398,0,500,1.537452668,0.088193915,1.76071955,0.9,13,12.1,74.9,0,0.16,0.0488175,0,800,1.473511428,0.090306025,0.815233777,0.9,18.6,12.4,69,10,0.23,0.04807575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,581,581,ZPP581,581,1,3,D,1000,0.5,0.5,,100,1.186718216,0.149847725,0.266710542,11.2,56.9,36.9,5.2,0,0.09,0.017091375,0,260,1.225211881,0.171922038,0.406888252,7.2,40.9,59.1,0,0,0.09,0.01,0,300,1.47341918,0.17126591,2.551263441,1.6,11.1,59.4,29.5,0,0.3,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,933,933,ZPP933,933,1,4,D,1000,0.5,0.5,,50,1.242805648,0.166679487,0.315824597,5.3,41.3,48.3,9.9,0,0.16,0.011009625,0,140,1.21851177,0.162042721,0.279269436,3.5,47.1,45.6,7.3,0,0.16,0.012552375,0,400,1.210148279,0.159083059,0.268095781,1.8,49.6,43.5,6.9,0,0.23,0.01373175,0,800,1.210148279,0.159083059,0.268095781,1.8,49.6,43.5,6.9,0,0.23,0.016155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
