19710101	
-5.96	-0.91
-9.87	-6.65
-8.09	-4.6
-15.97	-6.27
-17.51	-6.46
-8.19	-2.58
-13.75	-5.47
-12.68	-0.91
-13.75	-5.16
-10.22	-4.82
-12.75	-2.43
-7.99	0.66
-14.86	-0.48
-12.71	-1.88
-3.31	-1.69
-4.78	-1.63
-2.25	0.32
-1.24	0.16
-1.4	2.22
0.1	3.8
-0.03	4.55
1.51	9.1
-1.69	8.23
2.68	9.24
-2	9.22
-0.52	10.98
5.02	10.21
-0.65	10.07
-1.46	9.05
-1.94	10.2
2.32	12.28
1.52	12.37
-1.02	4.77
-6.87	1.97
-0.06	2.65
-4.01	5.85
-4.58	6.59
-0.37	5.29
-0.83	7.63
3.58	11.16
0.21	8.93
-2.02	8.05
-4.58	8.07
-4.38	12.53
0.17	10.66
1.08	6.57
1.33	9.14
3.7	5.88
2.24	10.35
-0.79	9.09
-0.6	8.29
-2.72	8.92
-2.86	10.35
-2.29	7.14
-1.15	6.1
-3.03	7.25
-3.49	3.75
-8.53	-3.07
-8.67	-1.63
-6.61	-2.59
-5.66	-1.78
-8.32	-1.83
-9.3	-3.89
-11.44	-7.45
-9.3	-6.6
-6.1	-2.27
-11.64	-0.35
-10.43	-0.66
-1.99	4.14
-7.37	5.49
-3.27	1
-6	8.31
-2.48	10.08
4.22	10.39
0.2	8.11
4.57	7.8
3.79	12.2
9.12	14.77
8.89	17.55
6.95	18.83
5.98	11.26
5.87	8.8
0.51	8.43
-1.87	12.13
4.34	8.44
4.17	6.25
5.87	7.93
3.57	8
4.1	6.39
5.16	8.01
4.97	8.66
6.94	11.51
7.08	10.84
7.51	14.4
10.12	16.25
4.46	16.95
4.46	18.75
3.56	19.63
6.49	20.06
5.97	18.74
10.19	14.6
2.85	12.81
4.85	12.28
5.64	13.85
-0.57	12.17
0.37	17.73
6.03	19.49
4.85	15.8
2.81	18.94
3.32	19.53
5.84	18.52
4.7	21.82
8.72	22.89
14.59	19.22
11.01	14.62
6.06	11.56
7.75	17.76
7.6	13.25
0.29	13.54
3.23	11.14
8.03	10.84
10.03	11.62
8	11.21
8.32	14.31
8.67	13.24
9.65	17.08
6.8	16.84
5.47	16.6
4.36	20.11
6.16	21.03
12.94	22.85
8.61	24.09
8.41	24.54
7.5	24.92
8.88	25.41
10.72	26.08
10.5	25.78
12.92	26.9
13.1	27.5
12.05	26.75
15.67	26
11.56	24.63
10.09	21.28
10.02	22.41
13.89	23.44
14.3	23.11
10.31	23.54
9.03	19.1
6.91	20.95
12.53	19.39
14.98	19.8
12.77	17.51
11.99	23.39
11.17	24.49
10.95	23.85
9.98	25.59
11.64	24.65
10.57	23.43
11.92	21.29
13.31	21.62
13.08	23.06
10.16	22.85
9.95	18.9
9.98	20.59
4.94	22.76
13.41	25.28
9.27	22.05
8.96	20.33
9.73	17.71
5.43	18.4
10.44	18.54
11.84	24.26
11.9	22.65
12.37	23.47
12.85	23.06
14.17	20.95
11.52	26.34
12.92	22.33
12.11	22.29
12.12	20.4
6.19	18.69
8.59	15.85
10.34	21.89
10.04	22.34
13.91	24.57
12.36	25.33
14.36	24.16
11.84	26.69
15.71	26.36
11.63	29.01
14.4	29.07
15.05	29.33
14.8	31.24
14.71	28.68
14.29	23.74
11.12	25.21
12.62	28.01
14.62	27.8
15.87	22.16
14.67	20.5
12.1	21.29
11.37	20.83
8.15	22.08
8.85	24.13
11.71	25
14.81	26.79
12.02	28.13
13.17	28.94
13.39	29.53
17.77	26.66
15.82	25.83
17.38	24.52
16.33	27.59
15.32	30.04
15.73	30.23
16.16	29.86
16.47	28.7
15.54	30.89
16.16	33.84
15.86	29.97
12.08	24.47
9.02	25.44
9.76	28.52
15.07	24.32
12.37	25.09
11.38	29.36
12.82	31.23
18.4	27.7
16.3	23.56
8.36	25.6
8.09	27.63
12.16	28.45
10.71	29.58
11.64	26.85
12.06	25.83
12.92	21.42
9.45	19.6
10.89	24.75
14.82	20.61
12	22.69
7.74	24.78
10.53	26.76
13.84	19.53
8.27	20.38
7.26	22.03
8.95	21.32
8.54	23.35
9.37	23.62
9.46	18.89
5.08	16.93
6.87	14.11
3.98	16.03
3.65	20.08
7.09	15.73
6.96	13.45
5.85	17.61
10.28	17.01
6.09	12.38
6.99	11.62
1.03	10.89
0.39	15.34
2.77	17.09
2.52	19.26
3.5	20.2
5.1	21.25
5.17	22.04
5.15	21.21
10.29	18.69
8.82	23
11.11	19.4
7.76	18.49
10.75	14.87
10.58	13.98
8.67	17.59
4.94	19.48
4.55	20.57
6.68	22.03
5.89	14.41
0.9	11.06
-2.95	16.88
0.71	21.9
0.34	19.09
1.4	19.11
2.29	20.51
2.14	20.17
5.02	20.3
5.06	20.31
5.04	16.26
1.82	5.58
-3.25	8.4
-4.39	9.54
-1.35	16.84
-0.31	15.18
2.02	16.8
3.82	18.44
8.8	25.21
3.26	19.77
2.16	22.83
4.56	13.09
2.05	8.9
-3.77	6.89
-6.86	8.63
-4.54	6.18
-6.94	7.3
-4.04	10.67
4.69	8.55
6.02	12.87
1.16	12.51
-1.1	17.96
2.38	17.54
6.37	15.27
2.54	14.6
9.28	17.38
6.97	14.14
7.36	9.58
7.57	8.45
5.03	6.27
3.98	6.64
1.43	10.5
0.98	9.13
0.56	6.78
4.14	7.72
1.88	15.38
0.16	1.45
-8.19	2.54
-1.6	-0.33
-2.43	-1.16
-13.68	-2.69
-14.09	-4.22
-10.54	0.27
-8.92	1.73
-6.71	-0.47
0.06	0.69
0.31	0.61
0.66	1.61
1.22	2.04
0.55	2.72
-0.49	4.38
-2.14	3.71
-0.2	8.56
4.08	7.89
1.51	8.88
-4.17	1.2
-6.4	1.7
-1.3	8.04
-0.21	10.3
-1.54	9.19
-3.58	8.02
-3.53	8.37
-1.97	7.83
-3.26	6.58
-4.65	6.4
-6	-1.81
-2.7	0.11
0.43	4.99
-1.22	11.15
-1.13	8.86
0.49	6.89
-2.69	6.97
-4.18	5.23
-3.6	-0.88
-4.68	-0.54
-2.26	-1.3
-0.45	0.42
-0.02	0.48
0.18	0.82
-0.08	0.87
-0.84	0.48
0.54	1.19
0.61	2.02
0.37	1.03
-0.41	0.35
-1.15	1.91
-0.52	0.34
-1.71	-0.82
-0.97	0.78
-0.95	0.55
-6.45	-1.31
-10.24	-3.64
-6.61	-4.05
-6.95	-6.03
-10.39	-6.73
-9.58	-6.85
-8.29	-3.65
-8.11	-3.47
-3.23	-0.37
-7.2	0.39
-9.54	-1.58
-9.89	-2.42
-4.15	-1.38
-9.87	-2.26
-6.02	3.06
-3.5	0.36
-2.61	0.62
-6.31	-1.98
-6.56	-1.49
-3.48	-1.87
-3.29	-1.63
-6.95	-2.44
-7.65	-3.9
-6.25	-2.13
-6.16	-1.05
-1.11	3.96
-1.37	4.78
0.36	4.27
1.17	3.37
0.93	10.67
1.48	6.01
3.02	5.05
0.71	6.33
3.59	5.42
-2.89	7.61
-1.96	9.82
4.08	13.31
0.55	8.99
2.05	11.67
0.3	5.02
3.43	4.06
4.06	7.2
3.17	8.3
5.12	6.67
4.48	6.79
5.08	7.5
4.92	8.09
6.71	7.7
5.81	8.84
2.96	8.35
5.21	6.78
4.59	7.42
3.38	8.67
4.56	6.77
4.83	13.2
9.11	14.05
7.59	14.42
4.87	15.01
4.83	9.85
-2.17	3.14
-6.15	1.84
-6.38	7.37
-2.82	12.1
-1.26	15.81
1.11	15.78
0.6	15.19
0.33	15.32
-0.74	14.81
1.01	15.4
2.42	16.87
1.95	17.88
1.8	14.17
-2.26	12.91
-0.7	20.05
8.14	15.83
6.65	16.79
3.37	11.96
2.55	14.11
1.97	19.67
5.7	17.4
4.65	12.7
7.94	18.63
8.08	18.6
10.4	15.83
8.84	13.59
5.01	18.94
7	22.1
10.02	17.4
6.18	15.01
10.61	15.99
11.58	14.41
10.02	12.48
9.08	10.98
9.55	12.22
9.06	10.83
8.83	13.33
6.63	10.65
8.62	12.43
8.38	12.33
10.05	14.55
11.91	16.13
4.65	16.74
9.39	14.09
3.65	9.46
3.54	9.15
1.45	11.64
3.61	10.51
-0.63	12.64
1.4	17.04
3.61	19.31
3.91	20.93
9.85	15.47
8.33	12.3
8.61	15.55
9.23	18.72
9.36	18.53
9.01	18.76
9.69	20.61
9.61	20.42
10.22	13.2
7.24	17.99
8.33	13.1
10.25	17.98
12.63	16.04
12.46	17.25
8.58	19.33
5.88	18.04
12.45	21.79
12.73	19.59
9.62	18.6
7.9	21.01
7.98	22.57
8.98	24.8
11.74	23.74
11.51	25.98
10.9	22.65
8.92	16.08
8.07	19.67
9.08	23.37
13.36	20.47
10.28	15.8
10.03	15.53
10.99	19.23
7.51	22.77
10.48	24.93
13.1	25.55
15.18	26.66
14.38	25.65
12.79	21.6
10.68	25.66
12.49	26.07
12.57	26.05
12.61	23.7
13.12	22.68
14.17	25.06
15.61	24.21
12.97	19.57
11.2	19.61
8.16	24.53
12.48	23.44
12.07	23.99
13.67	26.46
14.13	24.44
11.89	17.67
9.05	20
8.25	22.98
10.55	24.09
14.8	24.72
15.21	25.34
14.25	23.69
12.57	21.13
13.47	21.76
10.07	21.95
14.8	21.7
12.54	23
15.41	24.38
16.39	23.8
14.01	26.66
14.7	29.91
17.67	29.78
14.85	22.19
12.08	14.99
13.03	14.21
14.36	17.14
15.4	24.76
17.54	27.64
17.16	27.43
16.86	27.69
16.46	27.29
18.5	27.11
16.83	28.18
17.71	27.13
18.32	24.17
17.24	27.6
17.91	25.94
18.26	24.57
17.92	22.36
14.34	20.84
15.98	21.53
12.77	23.74
14.79	21.13
15.07	22.95
13.36	23.26
13.54	20.02
11.74	20.02
7.05	22.86
11.51	24.35
11.58	25.82
13.36	27.61
15.36	28.26
14.65	29.06
15.6	28.89
17.8	26.25
15.25	28.84
17.99	29.55
19.21	30.53
18.91	27.26
13.97	23.46
14.79	19.67
10.12	14.57
9.98	14.85
12.52	16.53
11.7	17.96
6.08	20.6
6.4	21.15
9.85	20.96
11.51	19.44
10.85	19.24
13.31	18.35
13.62	16.96
13.07	17.52
10.46	18.6
6.19	18.68
9.36	18.58
7.92	19.74
7.72	22.17
9.46	22.75
10.95	23.78
11.19	23.4
11.1	24.81
14.39	19.78
16.36	22.92
9.74	18.65
2.98	14.84
2.51	14.76
3.11	15.8
2.72	13.29
8.67	13.43
8.63	12.87
7.29	11.94
7.28	12.58
7.6	16.24
5.31	17.51
4.41	18.76
8.15	12.66
5.85	14.02
0.02	13.23
0.47	13.9
2.54	13.4
3.26	13.07
4.08	12.79
5.9	11.63
5.87	10.07
6.06	8.87
1.91	9.27
2.2	9.33
4.04	12.38
3.36	14.44
7.2	11.8
8.3	10.64
7.79	11.46
8.07	13.93
2.14	16.9
5.08	18.12
4.98	14.21
5.36	12.39
-1.31	12.58
1.04	11.31
-0.23	12.86
-1.98	12.79
-1.15	7.42
-5.88	11.4
-0.46	7.08
-4.69	8.06
-0.35	12
3.16	15.8
1.43	14.19
0.39	13.89
2.45	15.41
11.28	17.42
9.98	13.49
5.67	12.92
6.51	13.41
2.18	12.89
1.48	14.64
2.13	14.47
3.17	12.81
2.82	15.22
2.07	16.45
1.81	15.73
1.9	10.49
2.32	13.47
1.29	10.73
3.49	14.04
2.94	10.39
-1.18	10.58
4.79	7.95
4.09	5.1
-2.54	6.21
0.91	10.59
1.1	14.86
-4.32	1.57
-1.37	3.31
1.72	7.36
0.29	6.77
4.12	5.33
3.53	4.42
0.26	4.41
-1.66	5.43
-5.19	3.96
-3.01	4.39
-4.52	5.4
-4.11	9.08
1.97	6.42
4.14	6.62
6.09	13.35
1.09	10.19
1.98	5.03
-0.79	7.41
-3.47	3.59
1.03	2.63
1.51	11.85
0.6	7.64
-0.83	3.01
-0.38	2.08
1.66	1.93
1.06	1.36
0.77	1.6
0.03	1.03
-1.02	-0.48
-1.91	-1.27
-0.87	3.07
0.6	2.36
-3.11	1.38
-8.89	-0.33
-9.06	-0.01
-7.94	-4.47
-5.08	-4.64
